name,population,longitude,latitude
Kirchbach in Steiermark,858,15.66194,46.93167
Katzelsdorf,3112,16.26985,47.78055
Karrösten,676,10.76561,47.2254
Kappel am Krappfeld,391,14.48639,46.83861
Kapellen,428,15.62863,47.64784
Ysper,1149,15.06131,48.28865
Illmitz,2385,16.80024,47.76148
Hüttau,410,13.30775,47.4161
Hornstein,3012,16.44447,47.88049
Höfen,1200,10.68333,47.46667
Himmelberg,563,14.03056,46.75667
Herrnbaumgarten,943,16.68283,48.69606
Hausleiten,1488,16.1,48.38333
Hallwang,1348,13.08333,47.85
Hainzenberg,731,11.90034,47.21788
Greifenburg,1012,13.17982,46.75027
Gratkorn,6806,15.35,47.13333
Göttelsberg,1177,15.6,47.21667
Gösting,11255,15.39777,47.09788
Fulpmes,3038,11.34922,47.15202
Fraxern,701,9.67391,47.31498
Fladnitz im Raabtal,765,15.78528,46.99167
Fischbach,873,15.64972,47.44234
Feldkirchen bei Graz,1625,15.45,47.01667
Feistritz bei Knittelfeld,614,14.89334,47.26802
Feistritz am Wechsel,863,16.05,47.6
Farrach,1145,14.73333,47.18333
Falkenstein,457,16.58333,48.71667
Ehenbichl,660,10.7,47.46667
Eben im Pongau,1768,13.4,47.4
Ebenau,198,13.17527,47.79073
Düns,411,9.71663,47.22353
Dorfstetten,0,14.98218,48.32573
Donnersbach,289,14.12972,47.46139
Bürs,3275,9.8,47.14972
Bärnkopf,355,15.00479,48.39046
Baldramsdorf,657,13.45333,46.80111
Amlach,489,12.76361,46.81639
Aigen im Ennstal,425,14.13333,47.51667
Mühlbachl,60,11.45,47.13333
Gschnitz,434,11.35089,47.04469
Gaumberg,1628,14.26935,48.28085
Lanzendorf,1886,16.445,48.11056
Hinterglemm,1104,12.59583,47.37685
Schröcken,224,10.09197,47.25755
Thiersee,0,12.11758,47.59424
Kirchenviertel,5791,15.34764,47.13124
Doppl,129,14.56851,48.28245
Neualm,3602,13.08758,47.69336
St. Agathen und Perau,3230,13.85615,46.60627
Lend,31147,15.41589,47.08256
Andritz,19020,15.42348,47.11387
Angerberg,1225,12.04033,47.50672
Willaston,3292,138.74124,-34.5864
Wayville,1788,138.59132,-34.94468
Waikerie,2701,139.98552,-34.18178
Utakarra,1346,114.65,-28.78333
Swan View,7735,116.05,-31.88333
Robe,1096,139.76026,-37.16387
Port Broughton,1214,137.93597,-33.6007
North Fremantle,3221,115.75,-32.03333
Largs Bay,4015,138.48619,-34.82582
Port Denison,1500,114.92068,-29.27367
Ceduna,2091,133.67271,-32.1266
Carnarvon,7392,113.65713,-24.88258
Busselton,21898,115.3455,-33.65249
Burra,1149,138.92835,-33.67171
Boyanup,1163,115.72838,-33.48295
Yarram,2072,146.67557,-38.56479
Westcourt,3177,150.15,-26.8
Watsonia,5352,145.08333,-37.71667
Warrnambool,29176,142.48799,-38.38176
Wagga Wagga,7690,147.35375,-35.12577
Wacol,3822,152.93333,-27.58333
Tarragindi,11035,153.04556,-27.52713
Taroona,2964,147.3484,-42.9452
Smithfield,11899,150.93333,-33.85
Shepparton,51631,145.39867,-36.38047
Scottsdale,2302,147.51727,-41.1578
Ravenshoe,1452,145.48413,-17.60901
Penshurst,12673,151.08333,-33.96667
Parkville,7074,144.95,-37.78333
Ormond,8328,145.03333,-37.9
Nanango,3573,152.00211,-26.67157
Murwillumbah,7097,153.39339,-28.32732
Mossman,2084,145.37144,-16.46292
Moorooduc,1063,145.11667,-38.21667
Mapleton,1568,152.86784,-26.62431
Maddingley,3426,144.43245,-37.68518
Mackay,74219,149.16554,-21.15345
Longwarry,2436,145.76849,-38.11279
Lalor,23219,145.01667,-37.66667
Kilsyth,11699,145.31667,-37.8
Kensington,9719,144.93114,-37.79188
Kahibah,2393,151.71251,-32.96175
Inverell,11609,151.11166,-29.77403
Home Hill,3013,147.41232,-19.65921
Hay,2369,144.84306,-34.50903
Goondiwindi,6577,150.30546,-28.54709
Foster,1740,146.20073,-38.65275
Forest Hill,2482,147.46707,-35.1481
Diamond Creek,12503,145.15,-37.66667
Deception Bay,19539,153.02631,-27.19354
Dandenong,30127,145.2,-37.98333
Cygnet,1539,147.07253,-43.15333
Chiltern,1561,146.60843,-36.15044
Camberwell,21965,145.0694,-37.84205
Bulahdelah,1480,152.21185,-32.40698
Briagolong,1058,147.07268,-37.84356
South Bowenfels,1971,150.11667,-33.51667
Beaconsfield,7267,145.36667,-38.05
Bakers Creek,1136,149.14681,-21.2199
Avenel,1004,145.23367,-36.90088
Gymea,7489,151.08528,-34.03637
Yarrawarrah,2691,151.03563,-34.05351
Taren Point,1709,151.11826,-34.01936
Hunters Hill,9357,151.1459,-33.83432
Curl Curl,2418,151.28888,-33.76886
Moranbah,12068,148.04661,-22.00163
Maidstone,9389,144.87353,-37.78035
Seven Mile Beach,1332,147.50532,-42.85863
Kenmore,8764,152.93879,-27.50759
Main Beach,5645,153.4266,-27.97879
Banyo,5717,153.07903,-27.38236
Taigum,6473,153.04444,-27.34265
Caroline Springs,24488,144.73631,-37.74124
Burrill Lake,1433,150.44952,-35.38716
St. Georges Basin,2814,150.59801,-35.08986
Balwyn North,20015,145.09386,-37.79086
Waterview Heights,1327,152.83922,-29.69775
Bateau Bay,11905,151.46671,-33.38334
Dysart,4039,148.34924,-22.58825
Glenfield Park,5122,147.33285,-35.13725
Tighes Hill,1646,151.7509,-32.90732
Bossley Park,14476,150.8841,-33.86184
Wadalba,2835,151.46487,-33.2723
Daw Park,2850,138.58407,-34.98975
Whitsundays,4481,148.91325,-20.11943
Moulden,2974,130.97313,-12.50559
Taylors Lakes,15174,144.78631,-37.69863
